anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
orangeant,0.6486486486486487,0.32432432432432434,0.32432432432432434,0.16666666666666666,0.06756756756756757,0.5,0.32432432432432434,0.5,N,W,P1,7,7,2,9,2,4.6,4.2,1,0,3,1,1,0,0,0,25,0.2222222222222222,0.5
orangebat,0.4766355140186916,0.22429906542056072,0.2523364485981308,0.10810810810810811,1.0560747663551402,0.4705882352941176,0.25233644859813087,0.5294117647058824,N,W,P1,7,12,3,11,1,3.2,4,2,1,3,1,1,1,0,1,46,-0.25,0.3333333333333333
orangebee,0.4166666666666667,0.3333333333333333,1.1111111111111112,0.125,0.02777777777777777,0.7999999999999999,0.08333333333333337,0.20000000000000007,N,W,P3,7,7,1,7,2,2.6,3.4,1,0,2,1,0,0,0,0,14,0,0.25
orangebird,0.32051282051282054,0.3076923076923077,0.2564102564102564,0.04545454545454545,1.205128205128205,0.96,0.01282051282051283,0.04000000000000003,N,W,P3,7,10,1,8,2,3.4,3.4,0,0,4,1,1,0,0,0,22,-0.3333333333333333,0.8
orangecat,0.125,0.075,0.175,0.3333333333333333,3.1375,0.6,0.05,0.4,N,W,P3,7,9,1,10,1,4.6,3.6,3,1,2,0,0,0,0,0,16,0.14285714285714285,-0.5
orangeduck,0.13793103448275862,0.10344827586206896,0.2988505747126437,0.2676056338028169,0,0.75,0.03448275862068965,0.25,N,W,P4,7,10,1,12,1,4.4,4.2,1,0,2,1,1,0,0,0,40,0.3333333333333333,0.25
orangeeagle,0.2962962962962963,0.2222222222222222,1.1851851851851851,0.26,0.1111111111111111,0.75,0.07407407407407407,0.25,N,W,P4,7,12,1,10,1,3,2,3,1,2,1,0,0,0,0,20,-0.5,-0.5
orangefish,0.6901408450704225,0.352112676056338,0.29577464788732394,0.3125,0.09859154929577464,0.5102040816326531,0.3380281690140845,0.4897959183673469,N,W,P5,7,9,1,10,1,2,3,1,0,5,2,1,0,0,0,24,0.14285714285714285,1
orangefox,0.07936507936507936,0.07936507936507936,0.15873015873015872,0.2413793103448276,1.9206349206349207,1,0,0,N,W,P5,7,9,1,7,2,3,3,3,1,3,1,0,0,0,0,14,-0.2857142857142857,0
orangegoose,0.6666666666666666,0.375,0.4375,0.359375,0,0.5625,0.29166666666666663,0.43749999999999994,N,W,P5,7,9,2,8,1,3.6,3.2,0,0,0,0,1,0,0,0,18,-0.14285714285714285,0
orangehorse,0.2608695652173913,0.13043478260869565,4.260869565217392,1.380952380952381,0.391304347826087,0.5,0.13043478260869565,0.5,N,W,P5,7,4,1,11,2,3.4,4.8,0,0,0,0,1,0,0,0,9,0.5833333333333334,0
